category,subcategory,name,type,defaults,recommendation,range,context,docs,comments
File Locations,,config_file,string,ConfigDir/postgresql.conf,default,,postmaster,Sets the server's main configuration file.,"Can only be changed via command-line switch for obvious reasons.  Useful primarily for testing different configuration options, or for automated restart with different configuration options."
File Locations,,data_directory,string,ConfigDir,default,,postmaster,Sets the server's data directory.,"Supports the ability to distribute files according to sysadmin or operating system defined schemes, or for launching multiple restart instances using the same binaries.  Most of the time, it's better to use configuration options to define these locations so that all PostgreSQL binaries default to the correct paths."
File Locations,,external_pid_file,string,None,default,,postmaster,Writes the postmaster PID to the specified file.,Creates an extra copy of the process ID.  Used for server administration tools which need a copy of the process ID in a specific directory.
File Locations,,hba_file,string,ConfigDir/pg_hba.conf,default,,postmaster,"Sets the server's ""hba"" configuration file.",Allows you to move the pg_hba file to a sysadmin-specified location.
File Locations,,ident_file,string,ConfigDir/pg_ident.conf,default,,postmaster,"Sets the server's ""ident"" configuration file.",Allows you to move the pg_ident file to a sysadmin-specified location.
Connections and Authentication,Security and Authentication,db_user_namespace,bool,off,do not use,,sighup,Enables per-database user names.,"This setting is a hack to work around the lack of per-database users in PostgreSQL.  Unless you desperately need it, avoid this setting as it will eventually be replaced by something more maintainable."
Connections and Authentication,Security and Authentication,krb_caseins_users,bool,off,varies,,sighup,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,"Speak with your sysadmin or network security about how to set the various kerberos settings to match your local kerberos setup.  Kerberos support must be compiled in to PostgreSQL, and set in pg_hba.conf."
Connections and Authentication,Security and Authentication,krb_server_keyfile,string,,varies,,sighup,Sets the location of the Kerberos server key file.,
Connections and Authentication,Security and Authentication,password_encryption,bool,on,on,"md5,scram-sha-256",user,Encrypt passwords.,There is no good reason for this to be set to “off”.
Connections and Authentication,Security and Authentication,ssl,bool,off,on,,sighup,Enables SSL connections.,"One of several different settings to turn on SSL connections for PostgreSQL.  SSL is a very good idea for highly secure setups.  In addition, you must compile in SSL support and set SSL connections in pg_hba.conf, as well as configuring SSL itself."
Connections and Authentication,Security and Authentication,ssl_ca_file,,,config,,sighup,Location of the SSL certificate authority file.,"You should always use SSL connections if you can.  However, this does require setting up SSL."
Connections and Authentication,Security and Authentication,ssl_cert_file,,server.crt,config,,sighup,Location of the SSL server certificate file.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Security and Authentication,ssl_ciphers,string,HIGH:MEDIUM:+3DES:!aNULL,default,,sighup,Sets the list of allowed SSL ciphers.,"Allows DBAs to require “strong enough” or preset ciphers for SSL connections.  If you have not compiled SSL support, this parameter will not be available."
Connections and Authentication,Security and Authentication,ssl_crl_file,,,config,,sighup,Location of the SSL certificate revocation list file.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Security and Authentication,ssl_dh_params_file,,,config,,sighup,Location of the SSL DH parameters file.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Security and Authentication,ssl_ecdh_curve,,prime256v1,config,,sighup,Sets the curve to use for ECDH.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Security and Authentication,ssl_key_file,,server.key,config,,sighup,Location of the SSL server private key file.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Security and Authentication,ssl_prefer_server_ciphers,,on,config,,sighup,Give priority to server ciphersuite order.,"According to your SSL configuration, which maybe provided by your installer."
Connections and Authentication,Connection Settings,bonjour,bool,off,off,,postmaster,Enables advertising the server via Bonjour.,"Set to “on” if you've compiled in Bonjour support and have an application which works by autodiscovery of Postgres.  Otherwise, leave off."
Connections and Authentication,Connection Settings,bonjour_name,string,machine name,default,,postmaster,Sets the Bonjour service name.,Bonjour support must be compiled in and activated on the host machine to be live.  You'll want alternate names if you have several instances of PostgreSQL on the same machine.
Connections and Authentication,Connection Settings,listen_addresses,list,localhost,"localhost,1 address",,postmaster,Sets the host name or IP address(es) to listen to.,Set your listen_address as restrictively as possible; '*' should only be used for development machines
Connections and Authentication,Connection Settings,max_connections,integer,100,under 1000,1 to 262143,postmaster,Sets the maximum number of concurrent connections.,"Should be set to the maximum number of connections which you expect to need at peak load.  Note that each connection uses shared_buffer memory, as well as additional non-shared memory, so be careful not to run the system out of memory.  In general, if you need more than 200 connections, you should probably be making more use of connection pooling."
Connections and Authentication,Connection Settings,port,integer,5432,default,1 to 65535,postmaster,Sets the TCP port the server listens on.,"Alternate ports are primarily useful for running several versions, or instances, of PostgreSQL on one machine.  However, if you're using an alternate port to support several versions, it's often better to compile in the port number."
Connections and Authentication,Connection Settings,superuser_reserved_connections,integer,3,default,0 to 262143,postmaster,Sets the number of connection slots reserved for superusers.,"You should have at least one superuser connection open for troubleshooting at all times.  So if you run more than two concurrent regular administrative tasks, you'll need more reserved connections.  Note that this number is taken from max_connections, not in addition to it."
Connections and Authentication,Connection Settings,unix_socket_directories,string,/tmp,change,,postmaster,Sets the directories where Unix-domain sockets will be created.,"Change to a more secure directory, which many installers do for you."
Connections and Authentication,Connection Settings,unix_socket_group,string,NULL,postgres,,postmaster,Sets the owning group of the Unix-domain socket.,
Connections and Authentication,Connection Settings,unix_socket_permissions,integer,777,770,0 to 511,postmaster,Sets the access permissions of the Unix-domain socket.,
Connections and Authentication,Connection Persistence,authentication_timeout,time,60,decrease,1s to 600s,sighup,Sets the maximum allowed time to complete client authentication.,"For production databases, it's important that this value be synchronized with the timeout on the application server side.  Most web applications will want a shorter timeout, like 20s."
Connections and Authentication,Connection Persistence,tcp_keepalives_count,integer,0,default,0 to 2147483647,user,Maximum number of TCP keepalive retransmits.,"The three tcp_keepalive settings help manage a system which tends to have ""undead"" connection/query processes.  For systems which support them, you can regulate checking that connections are still ""live"" end-to-end to kill them off.  Not needed if you're not having a problem.  Should be synchronized with the new TCP keepalive support in libpq on the client side."
Connections and Authentication,Connection Persistence,tcp_keepalives_idle,integer,0,default,0s to 2147483647s,user,Time between issuing TCP keepalives.,
Connections and Authentication,Connection Persistence,tcp_keepalives_interval,integer,0,default,0s to 2147483647s,user,Time between TCP keepalive retransmits.,
Resource Usage,CPU,max_parallel_workers,integer,8,cores/2,0 to 1024,user,Sets the maximum number of parallel workers than can be active at one time.,"…  if you think you can benefit from parallel query, and even cores/1 for DW systems."
Resource Usage,CPU,max_worker_processes,integer,8,increase,0 to 262143,postmaster,Maximum number of concurrent worker processes.,"Increase to max_parallel_workers + other workers, such as workers for logical replication and custom background workers.  Not more than your number of cores, though."
Resource Usage,Memory,dynamic_shared_memory_type,ENUM,auto-detect,default,"posix,sysv,mmap,none",postmaster,Selects the dynamic shared memory implementation used.,
Resource Usage,Memory,huge_pages,ENUM,try,default,"off,on,try",postmaster,Use of huge pages on Linux.,"However, for small systems (< 2GB of RAM) may be beneficial to set to “off”."
Resource Usage,Memory,max_prepared_transactions,integer,5,0 or max_connections,0 to 262143,postmaster,Sets the maximum number of simultaneously prepared transactions.,"Most applications do not use XA prepared transactions, so should set this parameter to 0.  If you do require prepared transactions, you should set this equal to max_connections to avoid blocking.  May require increasing kernel memory parameters."
Resource Usage,Memory,shared_buffers,memory,varies 512kB to 8MB,AvRAM / 4,168kB to 10737418238kB,postmaster,Sets the number of shared memory buffers used by the server.,"A memory quantity defining PostgreSQL's ""dedicated"" RAM, which is used for connection control, active operations, and more.  However, since PostgreSQL also needs free RAM for file system buffers, sorts and maintenance operations, it is not advisable to set shared_buffers to a majority of RAM.   Note that increasing shared_buffers often requires you to increase some  system kernel parameters, most notably SHMMAX and SHMALL.  See  Operating System Environment: Managing Kernel Resources in the PostgreSQL documentation for more details.  Also note that shared_buffers over 2GB is  only supported on 64-bit systems."
Resource Usage,Memory,temp_buffers,memory,8MB,default,1008kB to 10737418238kB,user,Sets the maximum number of temporary buffers used by each session.,"Currently used only for holding temporary tables in memory.  If your application requires heavy use of temporary tables (many proprietary reporting engines do) then you might want to increase this substantially.  However, be careful because this is non-shared RAM which is allocated per session.  Otherwise, the default is fine."
