name,p_setting,p_unit,p_cat,p_context,vartype,min_val,max_val,source,enumvals,category,subcategory,setting,type,defaults,recommendation,min,max,unit,values,context,docs,comments,version_added,version_dropped
allow_system_table_mods,off,,Developer Options,postmaster,bool,,,default,,Developer Options,,allow_system_table_mods,bool,off,default,,,,,restart,Allows modifications of the structure of system tables.,Only available in single-user mode; this setting is for initdb and may be used in the future for upgrade-in-place.,,
application_name,psql,,Reporting and Logging / What to Log,user,string,,,client,,Other Settings & Defaults,Identification,application_name,string,psql,name,,,,,session,Sets the application name to be reported in statistics and logs.,"Set this to a reasonable default for most user sessions; if in the middle of working over your application to support application names, this might be “unknown”.",900,
archive_command,(disabled),,Write-Ahead Log / Archiving,sighup,string,,,default,,WAL and Checkpoints,Archiving,archive_command,string,(disabled),varies,,,,,reload,Sets the shell command that will be called to archive a WAL file.,All of the Archiving settings are part of a Point In Time Recovery or Warm Standby configuration.  Please see the Backup and Restore section for more information.,,
archive_mode,off,,Write-Ahead Log / Archiving,postmaster,enum,,,default,"{always,on,off}",WAL and Checkpoints,Archiving,archive_mode,bool,off,varies,,,,,restart,Allows archiving of WAL files using archive_command.,"Requires a restart to change, so if you want to turn archiving on and off, set this to 'on' and change archive_command instead.  Even better, set archive_command to a script which can be disabled by trigger or ENV variable.",,
archive_timeout,0,s,Write-Ahead Log / Archiving,sighup,integer,0,1073741823,default,,WAL and Checkpoints,Archiving,archive_timeout,integer,0,varies,0,INT_MAX,s,,reload,Forces a switch to the next xlog file if a new file has not been started within N seconds.,Dependant on your tradeoff between disk space and letting the standby get behind.,,
array_nulls,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,,,default,,Version and Platform Compatibility,Previous PostgreSQL Versions,array_nulls,bool,on,default,,,,,session,"Enable input of NULL elements in arrays. When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.",Provided for compatibility with 7.4 behavior.,,
authentication_timeout,60,s,Connections and Authentication / Security and Authentication,sighup,integer,1,600,default,,Connections and Authentication,Connection Persistence,authentication_timeout,time,60,decrease,1,600,s,,reload,Sets the maximum allowed time to complete client authentication.,"For production databases, it's important that this value be synchronized with the timeout on the application server side.  Most web applications will want a shorter timeout, like 20s.",,
autovacuum,on,,Autovacuum,sighup,bool,,,default,,Maintenance,Autovacuum,autovacuum,bool,on,on,,,,,reload,Starts the autovacuum subprocess.,"Starts the daemon which cleans up your tables and indexes, preventing bloat and poor response times. The only reason to set it to “off” is for databases which regularly do large batch operations like ETL.  Note that you can adjust the frequency or stop autovacuum on individual tables by adding rows to the pg_autovacuum system table.",,
autovacuum_analyze_scale_factor,0.1,,Autovacuum,sighup,real,0,100,default,,Maintenance,Autovacuum,autovacuum_analyze_scale_factor,real,0,default,0,100,,,reload,"Number of tuple inserts, updates or deletes prior to analyze as a fraction of reltuples.","This setting should be optimal for most databases.  However, very large tables (1m rows or more) in which rows are added in a skewed fashion may need to be autoanalyzed at a lower percentage, such as 5% or even 1%.",,
autovacuum_analyze_threshold,50,,Autovacuum,sighup,integer,0,2147483647,default,,Maintenance,Autovacuum,autovacuum_analyze_threshold,integer,50,default,0,INT_MAX,,,reload,"Minimum number of tuple inserts, updates or deletes prior to analyze.",,,
autovacuum_freeze_max_age,200000000,,Autovacuum,postmaster,integer,100000,2000000000,default,,Maintenance,Autovacuum,autovacuum_freeze_max_age,integer,200000000,500000000,100000000,2000000000,,,restart,Age at which to autovacuum a table to prevent transaction ID wraparound.,"Triggers autovacuum automatically if a table is about to suffer from XID rollover. The setting is very conservative, and should probably be increased to 500million, but not higher.",,
autovacuum_max_workers,3,,Autovacuum,postmaster,integer,1,262143,default,,Maintenance,Autovacuum,autovacuum_max_workers,integer,3,default,1,536870911,,,restart,Sets the maximum number of simultaneously running autovacuum worker processes.,"If you have an installation with many tables (100's to 1000's) or with some tables which autovacuum takes hours to process, you may want to add additional autovacuum workers so that multiple tables can be vacuumed at once.  Be conservative, though, as each autovacuum worker will utilize a separate CPU core, memory and I/O.",,
autovacuum_multixact_freeze_max_age,400000000,,Autovacuum,postmaster,integer,10000,2000000000,default,,Maintenance,Autovacuum,,integer,400000000,default,,,,,restart,,Triggers autovacuum automatically when the oldest “multixact” (a kind of lock transaction) is more than this old.  Do not raise past 1billion.,,
autovacuum_naptime,60,s,Autovacuum,sighup,integer,1,2147483,default,,Maintenance,Autovacuum,autovacuum_naptime,integer,60,default,1,2147483,s,,reload,Time to sleep between autovacuum runs.,"Decrease this to 30s or 15s if you have a large number (100's) of tables, or if you otherwise see from pg_stat_user_tables that autovacuum is not keeping up.",,
autovacuum_vacuum_cost_delay,20,ms,Autovacuum,sighup,integer,-1,100,default,,Maintenance,Autovacuum,autovacuum_vacuum_cost_delay,integer,20,default,-1,1000,ms,,reload,"Vacuum cost delay in milliseconds, for autovacuum.","If autovacuum is having too much of a performance impact on running queries, you might want to increase this setting to 50ms.  However, this will also cause individual vacuum tasks to take longer.",,
autovacuum_vacuum_cost_limit,-1,,Autovacuum,sighup,integer,-1,10000,default,,Maintenance,Autovacuum,autovacuum_vacuum_cost_limit,integer,-1,default,-1,10000,,,reload,"Vacuum cost amount available before napping, for autovacuum.",,,
autovacuum_vacuum_scale_factor,0.2,,Autovacuum,sighup,real,0,100,default,,Maintenance,Autovacuum,autovacuum_vacuum_scale_factor,real,0.2,default,0,100,,,reload,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,,,
autovacuum_vacuum_threshold,50,,Autovacuum,sighup,integer,0,2147483647,default,,Maintenance,Autovacuum,autovacuum_vacuum_threshold,integer,50,default,0,INT_MAX,,,reload,Minimum number of tuple updates or deletes prior to vacuum.,,,
autovacuum_work_mem,-1,kB,Resource Usage / Memory,sighup,integer,-1,2147483647,default,,Maintenance,Autovacuum,,memory,-1,AvRAM / workers / 4,,,,,,,Set a limit on this which is based on the number of autovac workers you expect to have running.,,
backend_flush_after,0,8kB,Resource Usage / Asynchronous Behavior,user,integer,0,256,default,,WAL and Checkpoints,Synch to Disk,,memory,0,default,,,,,,,Unless you have time to tune memory flushing behavior and test for improvements/regressions,,
backslash_quote,safe_encoding,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,enum,,,default,"{safe_encoding,on,off}",Version and Platform Compatibility,Previous PostgreSQL Versions,backslash_quote,ENUM,safe_encoding,default,,,,"safe_encoding,on,off",session,"Sets whether ""\'"" is allowed in string literals. Valid values are ON, OFF, and SAFE_ENCODING.","If you have cleaned up your application code, you can set this to 'off' to help lock down the database.  Older PHP applications will require the insecure setting of 'on'.",,
bgwriter_delay,200,ms,Resource Usage / Background Writer,sighup,integer,10,10000,default,,WAL and Checkpoints,Background Writer,bgwriter_delay,time,200,default,10,10000,ms,,reload,Background writer sleep time between rounds.,"Thanks to bgwriter autotuning, it should no longer be necessary for most users to touch the bgwriter settings.  Only modify these if you have a demonstrated issue shown by checkpoint spikes and monitoring pg_stat_bgwriter.  Laptop PostgreSQL users may want to increase bgwriter_delay to 60s to decrease I/O activity, since it is no longer possible to turn the bgwriter off.",,
bgwriter_flush_after,64,8kB,Resource Usage / Background Writer,sighup,integer,0,256,default,,WAL and Checkpoints,Background Writer,,memory,512kB,default,,,,,,,Unless you have time to tune memory flushing behavior and test for improvements/regressions,,
bgwriter_lru_maxpages,100,,Resource Usage / Background Writer,sighup,integer,0,1073741823,default,,WAL and Checkpoints,Background Writer,bgwriter_lru_maxpages,integer,100,default,0,1000,,,reload,Background writer maximum number of LRU pages to flush per round.,,,
bgwriter_lru_multiplier,2,,Resource Usage / Background Writer,sighup,real,0,10,default,,WAL and Checkpoints,Background Writer,bgwriter_lru_multiplier,real,2,default,0,10,,,reload,Background writer multiplier on average buffers to scan per round.,,,
block_size,8192,,Preset Options,internal,integer,8192,8192,default,,Preset Options,,block_size,integer,8192,N/A,8192,8192,,,internal,Shows the size of a disk block.,Informational: lets you know of non-standard installation or compile options.,,
bonjour,off,,Connections and Authentication / Connection Settings,postmaster,bool,,,default,,Connections and Authentication,Connection Settings,bonjour,bool,off,off,,,,,restart,Enables advertising the server via Bonjour.,"Set to “on” if you've compiled in Bonjour support and have an application which works by autodiscovery of Postgres.  Otherwise, leave off.",900,
bonjour_name,,,Connections and Authentication / Connection Settings,postmaster,string,,,default,,Connections and Authentication,Connection Settings,bonjour_name,string,machine name,default,,,,,restart,Sets the Bonjour broadcast service name.,Bonjour support must be compiled in and activated on the host machine to be live.  You'll want alternate names if you have several instances of PostgreSQL on the same machine.,,
bytea_output,hex,,Client Connection Defaults / Statement Behavior,user,enum,,,default,"{escape,hex}",Version and Platform Compatibility,Previous PostgreSQL Versions,bytea_output,enum,hex,hes,,,,"escape,hex",session,Sets the output format for bytea.,,900,
check_function_bodies,on,,Client Connection Defaults / Statement Behavior,user,bool,,,default,,Other Settings & Defaults,Other Defaults,check_function_bodies,bool,on,default,,,,,session,Check function bodies during CREATE FUNCTION.,"You only really want to turn this off to resolve circular dependancies, and that can be done on a per-session basis.  In general, checking for syntax errors in PL/pgSQL functions is a very good idea.",,
checkpoint_completion_target,0.5,,Write-Ahead Log / Checkpoints,sighup,real,0,1,default,,WAL and Checkpoints,Checkpoints,checkpoint_completion_target,real,1,default,0,1,,,reload,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",Defines the fraction of one checkpoint_interval over which to spread checkpoints. The default value works for most users.,,
checkpoint_flush_after,32,8kB,Write-Ahead Log / Checkpoints,sighup,integer,0,256,default,,WAL and Checkpoints,Checkpoints,,memory,256kB,default,,,,,,,Unless you have time to tune memory flushing behavior and test for improvements/regressions,,
checkpoint_timeout,300,s,Write-Ahead Log / Checkpoints,sighup,integer,30,86400,default,,WAL and Checkpoints,Checkpoints,checkpoint_timeout,integer,300,default,30,3600,s,,reload,Sets the maximum time between automatic WAL checkpoints.,"If you do really large ETL batches, you may want to increase this setting to the maximum length of a batch run.",,
checkpoint_warning,30,s,Write-Ahead Log / Checkpoints,sighup,integer,0,2147483647,default,,WAL and Checkpoints,Checkpoints,checkpoint_warning,integer,30,default,0,INT_MAX,s,,reload,Enables warnings if checkpoint segments are filled more frequently than this. Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.,,,
client_encoding,UTF8,,Client Connection Defaults / Locale and Formatting,user,string,,,session,,Locale & Formatting,Locale,client_encoding,string,per ENV,default,,,,,session,Sets the client's character set encoding.,Should match server_encoding unless you have a really good reason why not.,,
client_min_messages,notice,,Reporting and Logging / When to Log,user,enum,,,default,"{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}",Reporting and Logging,When to Log,client_min_messages,ENUM,notice,default,,,,"debug5,debug4,debug3,debug2,debug1,log,notice,warning,error",session,"Sets the message levels that are sent to the client. Each level includes all the levels that follow it. The later the level, the fewer messages are sent.","Unless doing interactive debugging, then you want it set to DEBUG1-5.  If you have a client application which is confused by some of PostgreSQL's WARNINGs then you may want to set this to ERROR.",,
cluster_name,,,Process Title,postmaster,string,,,default,,Other Settings & Defaults,Identification,,string,NULL,set,,,,,,,Should be “postgres-1” or something else identifiable as this specific postmaster.,,
commit_delay,0,,Write-Ahead Log / Settings,superuser,integer,0,100000,default,,WAL and Checkpoints,Commit Settings,commit_delay,integer,0,0,0,100000,,,session,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,A primitive form of group commit without asynchronicity.  Performance testing of this is very mixed; only set to non-zero if you have time to test the specific performance impact on your workload.  Reasonable values are 200 to 1000.,,
commit_siblings,5,,Write-Ahead Log / Settings,user,integer,0,1000,default,,WAL and Checkpoints,Commit Settings,commit_siblings,integer,5,1,1,1000,,,session,Sets the minimum concurrent open transactions before performing commit_delay.,See commit_delay.  Reasonable values are 3 to 8,,
config_file,/var/lib/postgresql/data/postgresql.conf,,File Locations,postmaster,string,,,override,,File Locations,,config_file,string,ConfigDir/postgresql.conf,default,,,,,,Sets the server's main configuration file.,"Can only be changed via command-line switch for obvious reasons.  Useful primarily for testing different configuration options, or for automated restart with different configuration options.",,
constraint_exclusion,partition,,Query Tuning / Other Planner Options,user,enum,,,default,"{partition,on,off}",Query Tuning,Other Planner Options,constraint_exclusion,bool,partiton,default,,,,"partition,on,off",session,"Enables the planner to use constraints to optimize queries. Table scans will be skipped if their constraints guarantee that no rows match the query.  Generally, this is used for table partitioning, but it also works for UNION queries.","Default of “partition” is fine for most users.  Setting it to “on” can allow optimization of UNION queries as well, but deserves testing before production deployment.",,
cpu_index_tuple_cost,0.005,,Query Tuning / Planner Cost Constants,user,real,0,1.79769E+308,default,,Query Tuning,Planner Cost Constants,cpu_index_tuple_cost,real,0.005,0.001,0,REAL_MAX,,,session,Sets the planner's estimate of the cost of processing each index entry during an index scan.,Decrease this slightly to make your database favor indexes slightly more.,,
cpu_operator_cost,0.0025,,Query Tuning / Planner Cost Constants,user,real,0,1.79769E+308,default,,Query Tuning,Planner Cost Constants,cpu_operator_cost,real,0.0025,0.0005,0,REAL_MAX,,,session,Sets the planner's estimate of the cost of processing each operator or function call.,Decrease this slightly to make your database favor indexes slightly more.,,
cpu_tuple_cost,0.01,,Query Tuning / Planner Cost Constants,user,real,0,1.79769E+308,default,,Query Tuning,Planner Cost Constants,cpu_tuple_cost,real,0.01,default,0,REAL_MAX,,,session,Sets the planner's estimate of the cost of processing each tuple (row).,,,
